fecha,pm2_5,pm10,co,no2,aqi,categoria
2025-12-13 00:00:00,7.5,8.7,148.0,4.4,15,🟢 Bueno
2025-12-13 01:00:00,7.0,8.1,151.0,4.4,14,🟢 Bueno
2025-12-13 02:00:00,6.7,7.8,151.0,4.5,14,🟢 Bueno
2025-12-13 03:00:00,6.5,7.6,152.0,4.7,14,🟢 Bueno
2025-12-13 04:00:00,6.5,7.6,159.0,4.9,14,🟢 Bueno
2025-12-13 05:00:00,6.3,7.5,180.0,5.2,14,🟢 Bueno
2025-12-13 06:00:00,6.4,7.5,207.0,5.5,14,🟢 Bueno
2025-12-13 07:00:00,7.7,8.4,218.0,3.9,14,🟢 Bueno
2025-12-13 08:00:00,6.9,7.3,199.0,3.3,15,🟢 Bueno
2025-12-13 09:00:00,5.9,6.2,165.0,2.4,18,🟢 Bueno
2025-12-13 10:00:00,5.3,5.5,140.0,1.7,20,🟢 Bueno
2025-12-13 11:00:00,4.5,4.7,133.0,1.3,21,🟡 Aceptable
2025-12-13 12:00:00,4.0,4.1,135.0,1.0,22,🟡 Aceptable
2025-12-13 13:00:00,3.7,3.8,138.0,0.9,22,🟡 Aceptable
2025-12-13 14:00:00,3.4,3.5,137.0,0.6,23,🟡 Aceptable
2025-12-13 15:00:00,3.8,3.9,137.0,0.4,24,🟡 Aceptable
2025-12-13 16:00:00,3.5,3.6,144.0,1.0,23,🟡 Aceptable
2025-12-13 17:00:00,3.5,3.6,166.0,2.9,21,🟡 Aceptable
2025-12-13 18:00:00,4.2,4.3,195.0,5.6,18,🟢 Bueno
2025-12-13 19:00:00,10.9,11.4,217.0,6.2,13,🟢 Bueno
2025-12-13 20:00:00,10.7,11.0,226.0,6.4,12,🟢 Bueno
2025-12-13 21:00:00,10.6,10.9,227.0,6.8,12,🟢 Bueno
2025-12-13 22:00:00,10.7,11.0,220.0,6.9,13,🟢 Bueno
2025-12-13 23:00:00,10.2,10.6,200.0,6.7,13,🟢 Bueno
2025-12-14 00:00:00,9.4,9.7,173.0,6.2,13,🟢 Bueno
2025-12-14 01:00:00,8.7,9.1,152.0,5.8,13,🟢 Bueno
2025-12-14 02:00:00,8.1,8.6,144.0,5.4,13,🟢 Bueno
2025-12-14 03:00:00,7.8,8.2,142.0,5.0,13,🟢 Bueno
2025-12-14 04:00:00,7.8,8.3,142.0,4.6,14,🟢 Bueno
2025-12-14 05:00:00,7.6,8.1,146.0,4.4,14,🟢 Bueno
2025-12-14 06:00:00,7.7,8.1,152.0,4.3,14,🟢 Bueno
2025-12-14 07:00:00,4.2,4.3,154.0,5.4,14,🟢 Bueno
2025-12-14 08:00:00,5.0,5.3,147.0,4.2,14,🟢 Bueno
2025-12-14 09:00:00,5.0,5.6,135.0,2.5,18,🟢 Bueno
2025-12-14 10:00:00,4.6,5.3,127.0,1.2,21,🟡 Aceptable
2025-12-14 11:00:00,4.4,5.1,126.0,0.7,22,🟡 Aceptable
2025-12-14 12:00:00,4.4,5.0,128.0,0.6,23,🟡 Aceptable
2025-12-14 13:00:00,4.1,4.5,131.0,0.6,23,🟡 Aceptable
2025-12-14 14:00:00,4.1,4.5,131.0,0.6,23,🟡 Aceptable
2025-12-14 15:00:00,4.4,4.8,131.0,0.7,23,🟡 Aceptable
2025-12-14 16:00:00,4.1,4.5,136.0,1.2,22,🟡 Aceptable
2025-12-14 17:00:00,4.2,4.5,153.0,2.4,20,🟢 Bueno
2025-12-14 18:00:00,4.6,4.9,175.0,3.9,17,🟢 Bueno
2025-12-14 19:00:00,8.8,9.5,189.0,4.8,15,🟢 Bueno
2025-12-14 20:00:00,7.6,8.1,187.0,4.6,14,🟢 Bueno
2025-12-14 21:00:00,6.9,7.5,177.0,4.4,14,🟢 Bueno
2025-12-14 22:00:00,6.9,7.5,165.0,4.3,14,🟢 Bueno
2025-12-14 23:00:00,6.8,7.4,152.0,4.3,13,🟢 Bueno
2025-12-15 00:00:00,6.1,6.6,138.0,4.4,12,🟢 Bueno
2025-12-15 01:00:00,5.5,5.8,127.0,4.4,12,🟢 Bueno
2025-12-15 02:00:00,4.7,5.0,120.0,4.2,12,🟢 Bueno
2025-12-15 03:00:00,4.2,4.4,116.0,4.0,11,🟢 Bueno
2025-12-15 04:00:00,3.9,4.2,119.0,3.9,11,🟢 Bueno
2025-12-15 05:00:00,4.0,4.3,135.0,4.2,11,🟢 Bueno
2025-12-15 06:00:00,4.1,4.4,157.0,4.6,11,🟢 Bueno
2025-12-15 07:00:00,2.3,2.3,169.0,3.3,14,🟢 Bueno
2025-12-15 08:00:00,2.4,2.4,161.0,2.7,16,🟢 Bueno
2025-12-15 09:00:00,2.0,2.1,142.0,1.8,18,🟢 Bueno
2025-12-15 10:00:00,2.1,2.2,128.0,1.1,20,🟢 Bueno
2025-12-15 11:00:00,1.9,2.1,125.0,0.8,22,🟡 Aceptable
2025-12-15 12:00:00,2.1,2.2,126.0,0.7,23,🟡 Aceptable
2025-12-15 13:00:00,1.8,1.9,129.0,0.7,24,🟡 Aceptable
2025-12-15 14:00:00,1.6,1.7,130.0,0.6,24,🟡 Aceptable
2025-12-15 15:00:00,1.5,1.6,133.0,0.6,24,🟡 Aceptable
2025-12-15 16:00:00,2.1,2.2,140.0,1.0,23,🟡 Aceptable
2025-12-15 17:00:00,2.1,2.2,159.0,2.0,21,🟡 Aceptable
2025-12-15 18:00:00,2.4,2.5,184.0,3.4,18,🟢 Bueno
2025-12-15 19:00:00,4.2,4.5,196.0,3.5,18,🟢 Bueno
2025-12-15 20:00:00,3.7,3.9,185.0,3.3,18,🟢 Bueno
2025-12-15 21:00:00,3.6,3.7,162.0,3.1,18,🟢 Bueno
2025-12-15 22:00:00,3.7,3.9,144.0,3.0,17,🟢 Bueno
2025-12-15 23:00:00,3.6,3.8,140.0,3.2,16,🟢 Bueno
2025-12-16 00:00:00,3.5,3.7,141.0,3.6,15,🟢 Bueno
2025-12-16 01:00:00,3.6,3.9,141.0,3.8,14,🟢 Bueno
2025-12-16 02:00:00,3.5,3.8,137.0,3.7,13,🟢 Bueno
2025-12-16 03:00:00,3.3,3.6,131.0,3.5,13,🟢 Bueno
