especie,nombre_comun,clase,orden,lat,lon,fecha,imagen_url,estado
Heliconia psittacorum,—,Liliopsida,Zingiberales,8.805131,-75.85043,2026-01-21T17:01:44,https://inaturalist-open-data.s3.amazonaws.com/photos/609782764/original.jpg,No evaluado
Lygophis lineatus,—,Squamata,—,8.87916,-75.78518,2026-01-11T12:07:37,https://inaturalist-open-data.s3.amazonaws.com/photos/607477864/original.jpg,LC
Iguana iguana,—,Squamata,—,8.805161,-75.851099,2026-01-21T17:11:51,https://inaturalist-open-data.s3.amazonaws.com/photos/609784744/original.jpg,LC
Menemerus bivittatus,—,Arachnida,Araneae,8.804592,-75.850386,2026-01-21T17:12:26,https://inaturalist-open-data.s3.amazonaws.com/photos/609784690/original.jpg,No evaluado
Polybia emaciata,—,Insecta,Hymenoptera,7.993443,-75.591891,2026-01-22T13:38:09,https://inaturalist-open-data.s3.amazonaws.com/photos/610000741/original.jpg,No evaluado
Leptotila verreauxi,—,Aves,Columbiformes,8.925805,-75.788294,2026-01-12T08:09:18,https://inaturalist-open-data.s3.amazonaws.com/photos/607439629/original.jpg,LC
Chelonoidis carbonarius,—,Testudines,—,9.073164,-75.695238,2026-01-25T08:01,https://inaturalist-open-data.s3.amazonaws.com/photos/610670724/original.jpg,No evaluado
Iguana iguana,—,Squamata,—,8.805273,-75.850997,2026-01-21T17:03:01,https://inaturalist-open-data.s3.amazonaws.com/photos/609782839/original.jpg,LC
Columbina talpacoti,—,Aves,Columbiformes,9.085724,-75.815886,2026-01-01T09:51:06,https://inaturalist-open-data.s3.amazonaws.com/photos/607299086/original.jpg,LC
Piper marginatum,—,Magnoliopsida,Piperales,7.970264,-75.555145,2026-01-20T09:36,https://inaturalist-open-data.s3.amazonaws.com/photos/609716078/original.jpg,No evaluado
Cairina moschata,—,Aves,Anseriformes,9.038628,-75.797093,2026-01-25T07:19:59,https://inaturalist-open-data.s3.amazonaws.com/photos/610664472/original.jpg,LC
Sakesphorus canadensis,—,Aves,Passeriformes,9.085811,-75.816011,2026-01-02T08:33:17,https://inaturalist-open-data.s3.amazonaws.com/photos/607301608/original.jpg,LC
Syzygium malaccense,—,Magnoliopsida,Myrtales,7.926914,-75.593449,2026-01-14T10:14:44,https://inaturalist-open-data.s3.amazonaws.com/photos/607928636/original.jpg,LC
Gallus gallus,—,Aves,Galliformes,9.038817,-75.7968,2026-01-25T07:24,https://inaturalist-open-data.s3.amazonaws.com/photos/610665144/original.jpg,LC
Evolvulus nummularius,—,Magnoliopsida,Solanales,8.955728,-75.763165,2026-01-11T10:08:18,https://inaturalist-open-data.s3.amazonaws.com/photos/607282544/original.jpg,No evaluado
Heliconia psittacorum,—,Liliopsida,Zingiberales,8.804962,-75.850475,2026-01-21T17:01:14,https://inaturalist-open-data.s3.amazonaws.com/photos/609782733/original.jpg,No evaluado
Terminalia catappa,—,Magnoliopsida,Myrtales,8.756615,-75.886633,2026-01-03T20:18:40,https://inaturalist-open-data.s3.amazonaws.com/photos/607366796/original.jpg,LC
Ixora coccinea,—,Magnoliopsida,Gentianales,8.925715,-75.788462,2026-01-07T11:50:46,https://inaturalist-open-data.s3.amazonaws.com/photos/606172107/original.jpg,No evaluado
Eulophia maculata,—,Liliopsida,Asparagales,7.916021,-75.548231,2026-01-26T08:52:52,https://inaturalist-open-data.s3.amazonaws.com/photos/611031383/original.jpg,LC
Eryngium foetidum,—,Magnoliopsida,Apiales,8.943946,-75.613117,2026-01-07T11:25:37,https://inaturalist-open-data.s3.amazonaws.com/photos/606166907/original.jpg,No evaluado
Ixora coccinea,—,Magnoliopsida,Gentianales,7.926525,-75.541512,2026-01-20T08:20:45,https://inaturalist-open-data.s3.amazonaws.com/photos/609712305/original.jpg,No evaluado
Coereba flaveola,—,Aves,Passeriformes,9.08588,-75.816106,2026-01-02T08:30:35,https://inaturalist-open-data.s3.amazonaws.com/photos/607301214/original.jpg,LC
Ascalapha odorata,—,Insecta,Lepidoptera,8.955723,-75.763158,2026-01-09T23:02:06,https://inaturalist-open-data.s3.amazonaws.com/photos/606933476/original.jpg,No evaluado
Saltator olivascens,—,Aves,Passeriformes,8.733163,-75.879463,2026-01-11T15:45:27,https://inaturalist-open-data.s3.amazonaws.com/photos/607269960/original.jpg,LC
Anartia jatrophae,—,Insecta,Lepidoptera,8.65972,-75.757422,2026-01-11T13:28:14,https://inaturalist-open-data.s3.amazonaws.com/photos/607252431/original.jpg,No evaluado
Passiflora quadrangularis,—,Magnoliopsida,Malpighiales,7.921689,-75.549323,2026-01-20T08:48:16,https://inaturalist-open-data.s3.amazonaws.com/photos/609587841/original.jpg,No evaluado
Sus scrofa,—,Mammalia,Artiodactyla,9.038663,-75.797061,2026-01-25,https://inaturalist-open-data.s3.amazonaws.com/photos/610672101/original.jpg,No evaluado
Anacardium occidentale,—,Magnoliopsida,Sapindales,7.916648,-75.527141,2026-01-21T07:37:56,https://inaturalist-open-data.s3.amazonaws.com/photos/609675215/original.jpg,LC
Iguana iguana,—,Squamata,—,8.804345,-75.850583,2026-01-22T15:20:39,https://inaturalist-open-data.s3.amazonaws.com/photos/609999014/original.jpg,LC
Elachistocleis pearsei,—,Amphibia,Anura,8.530238,-76.179642,2026-01-02T19:17:57,https://inaturalist-open-data.s3.amazonaws.com/photos/608272528/original.jpg,LC
Bradypus variegatus,—,Mammalia,Pilosa,8.748362,-75.625977,2026-01-15T13:46:49,https://inaturalist-open-data.s3.amazonaws.com/photos/608259621/original.jpg,LC
Cocos nucifera,—,Liliopsida,Arecales,9.038916,-75.796935,2026-01-25T07:21:37,https://inaturalist-open-data.s3.amazonaws.com/photos/610664852/original.jpg,No evaluado
Ardea alba,—,Aves,Pelecaniformes,8.758578,-75.904358,2026-01-11T09:34:06,https://inaturalist-open-data.s3.amazonaws.com/photos/607177840/original.jpg,LC
Tecoma stans,—,Magnoliopsida,Lamiales,8.922947,-75.78987,2026-01-10T13:52:19,https://inaturalist-open-data.s3.amazonaws.com/photos/606944157/original.jpg,LC
Columbina squammata,—,Aves,Columbiformes,8.757634,-75.90414,2026-01-11T15:22:24,https://inaturalist-open-data.s3.amazonaws.com/photos/607177953/original.jpg,LC
Menemerus bivittatus,—,Arachnida,Araneae,8.805328,-75.850858,2026-01-21T17:11:27,https://inaturalist-open-data.s3.amazonaws.com/photos/609784499/original.jpg,No evaluado
Boana pugnax,—,Amphibia,Anura,9.383693,-76.183633,2026-01-10T18:28:38,https://inaturalist-open-data.s3.amazonaws.com/photos/610050548/original.jpg,LC
Elachistocleis panamensis,—,Amphibia,Anura,8.879201,-75.785184,2026-01-11T12:25:33,https://inaturalist-open-data.s3.amazonaws.com/photos/607477570/original.jpg,LC
Crescentia cujete,—,Magnoliopsida,Lamiales,9.058155,-75.804149,2026-01-25T15:08:05,https://inaturalist-open-data.s3.amazonaws.com/photos/610769312/original.jpg,LC
Tringa semipalmata,—,Aves,Charadriiformes,9.205974,-76.087108,2026-01-13T23:24,https://inaturalist-open-data.s3.amazonaws.com/photos/608182845/original.jpg,LC
Episcia cupreata,—,Magnoliopsida,Lamiales,8.659597,-75.757317,2026-01-11T12:52:47,https://inaturalist-open-data.s3.amazonaws.com/photos/607219106/original.jpg,No evaluado
Zenaida auriculata,—,Aves,Columbiformes,8.805168,-75.8512,2026-01-21T17:14:49,https://inaturalist-open-data.s3.amazonaws.com/photos/609785207/original.jpg,LC
Tradescantia pallida,—,Liliopsida,Commelinales,8.803777,-75.850581,2026-01-22T15:10:20,https://inaturalist-open-data.s3.amazonaws.com/photos/609999106/original.jpg,No evaluado
Saltator olivascens,—,Aves,Passeriformes,8.748388,-75.884545,2026-01-05T09:25:24,https://inaturalist-open-data.s3.amazonaws.com/photos/607177862/original.jpg,LC
Setophaga castanea,—,Aves,Passeriformes,7.925988,-75.596252,2026-01-11T17:03:29,https://inaturalist-open-data.s3.amazonaws.com/photos/607423496/original.jpg,LC
Bubulcus ibis,—,Aves,Pelecaniformes,8.85715,-75.81755,2026-01-26T09:42:32,https://inaturalist-open-data.s3.amazonaws.com/photos/610979048/original.jpg,No evaluado
Coragyps atratus,—,Aves,Accipitriformes,8.758183,-75.904037,2026-01-11T09:37:48,https://inaturalist-open-data.s3.amazonaws.com/photos/607177809/original.jpg,LC
Elachistocleis panamensis,—,Amphibia,Anura,8.529555,-76.179279,2026-01-15T20:25:46,https://inaturalist-open-data.s3.amazonaws.com/photos/610215505/original.jpg,LC
Vanellus chilensis,—,Aves,Charadriiformes,8.757628,-75.904183,2026-01-04T08:24:36,https://inaturalist-open-data.s3.amazonaws.com/photos/607177925/original.jpg,LC
Columbina talpacoti,—,Aves,Columbiformes,8.804592,-75.850386,2026-01-21T17:23:16,https://inaturalist-open-data.s3.amazonaws.com/photos/609786293/original.jpg,LC
Saguinus oedipus,—,Mammalia,Primates,7.872791,-75.529013,2026-01-28T17:24:30,https://inaturalist-open-data.s3.amazonaws.com/photos/611528819/original.jpg,No evaluado
Gustavia nana,—,Magnoliopsida,Ericales,7.888853,-75.531136,2026-01-28T12:12:42,https://inaturalist-open-data.s3.amazonaws.com/photos/611555468/original.jpg,LC
Phoneutria depilata,—,Arachnida,Araneae,8.75098,-75.878535,2026-01-05,https://inaturalist-open-data.s3.amazonaws.com/photos/605780855/original.jpg,No evaluado
Camponotus lindigi,—,Insecta,Hymenoptera,8.804592,-75.850386,2026-01-21T17:09:21,https://inaturalist-open-data.s3.amazonaws.com/photos/609784180/original.jpg,No evaluado
Tabebuia rosea,—,Magnoliopsida,Lamiales,7.921192,-75.525527,2026-01-29T08:08:07,https://inaturalist-open-data.s3.amazonaws.com/photos/611664385/original.jpg,LC
Cassia grandis,—,Magnoliopsida,Fabales,7.930647,-75.509164,2026-01-29T08:37:51,https://inaturalist-open-data.s3.amazonaws.com/photos/611660017/original.jpg,LC
Anacardium occidentale,—,Magnoliopsida,Sapindales,7.909756,-75.525572,2026-01-22T08:07:57,https://inaturalist-open-data.s3.amazonaws.com/photos/609999538/original.jpg,LC
Eulophia maculata,—,Liliopsida,Asparagales,7.916021,-75.548231,2026-01-23T10:09:22,https://inaturalist-open-data.s3.amazonaws.com/photos/611030061/original.jpg,LC
Bellucia pentamera,—,Magnoliopsida,Myrtales,7.993443,-75.591891,2026-01-28T09:48:23,https://inaturalist-open-data.s3.amazonaws.com/photos/611481738/original.jpg,LC
Gallus gallus,—,Aves,Galliformes,8.883518,-75.805981,2026-01-25T18:11:12,https://inaturalist-open-data.s3.amazonaws.com/photos/610820177/original.jpg,No evaluado
Palicourea tomentosa,—,Magnoliopsida,Gentianales,7.912887,-75.543864,2026-01-27T10:33:04,https://inaturalist-open-data.s3.amazonaws.com/photos/611420410/original.jpg,No evaluado
Ara severus,—,Aves,Psittaciformes,7.951881,-76.509191,2026-01-27T16:42:15,https://inaturalist-open-data.s3.amazonaws.com/photos/611288891/original.jpg,LC
Rhinella horribilis,—,Amphibia,Anura,8.821983,-75.841926,2026-01-11T13:08:46,https://inaturalist-open-data.s3.amazonaws.com/photos/611769443/original.jpg,LC
Ramphocelus dimidiatus,—,Aves,Passeriformes,7.860807,-75.468933,2026-01-11T17:10:46,https://inaturalist-open-data.s3.amazonaws.com/photos/607423699/original.jpg,LC
Gallus gallus,—,Aves,Galliformes,9.038837,-75.796734,2026-01-25T07:22:58,https://inaturalist-open-data.s3.amazonaws.com/photos/610665057/original.jpg,No evaluado
Cochlospermum vitifolium,—,Magnoliopsida,Malvales,7.931964,-75.542433,2026-01-20T13:57:29,https://inaturalist-open-data.s3.amazonaws.com/photos/609589389/original.jpg,LC
Ardea alba,—,Aves,Pelecaniformes,8.875446,-75.779804,2026-01-26T09:50:38,https://inaturalist-open-data.s3.amazonaws.com/photos/610981997/original.jpg,LC
Passiflora vitifolia,—,Magnoliopsida,Malpighiales,7.93347,-75.535858,2026-01-20T09:33:26,https://inaturalist-open-data.s3.amazonaws.com/photos/609590004/original.jpg,No evaluado
Palicourea tomentosa,—,Magnoliopsida,Gentianales,7.886425,-75.530994,2026-01-28T10:29:40,https://inaturalist-open-data.s3.amazonaws.com/photos/612024666/original.jpg,No evaluado
Anacardium excelsum,—,Magnoliopsida,Sapindales,7.909168,-75.526808,2026-01-22T10:49:17,https://inaturalist-open-data.s3.amazonaws.com/photos/610000479/original.jpg,LC
Gallus gallus,—,Aves,Galliformes,8.877808,-75.78434,2026-01-26T09:53:59,https://inaturalist-open-data.s3.amazonaws.com/photos/610980073/original.jpg,LC
Cucurbita moschata,—,Magnoliopsida,Cucurbitales,9.038708,-75.797168,2026-01-25T07:29:22,https://inaturalist-open-data.s3.amazonaws.com/photos/610666810/original.jpg,No evaluado
Bellucia pentamera,—,Magnoliopsida,Myrtales,7.885572,-75.532397,2026-01-28T09:53:07,https://inaturalist-open-data.s3.amazonaws.com/photos/611661401/original.jpg,LC
Thunbergia grandiflora,—,Magnoliopsida,Lamiales,8.80337,-75.850467,2026-01-21T17:05:37,https://inaturalist-open-data.s3.amazonaws.com/photos/609783318/original.jpg,No evaluado
Azadirachta indica,—,Magnoliopsida,Sapindales,8.832033,-75.844017,2026-01-22T12:35:29,https://inaturalist-open-data.s3.amazonaws.com/photos/609965503/original.jpg,LC
Heliconia psittacorum,—,Liliopsida,Zingiberales,7.922035,-75.52523,2026-01-29T10:39:23,https://inaturalist-open-data.s3.amazonaws.com/photos/613444556/original.jpg,No evaluado
Porthidium lansbergii,—,Squamata,—,7.914542,-76.435916,2026-01-30T07:28:33,https://inaturalist-open-data.s3.amazonaws.com/photos/613542511/original.jpg,LC
Porthidium lansbergii,—,Squamata,—,7.914542,-76.435916,2026-01-31T00:01:28,https://inaturalist-open-data.s3.amazonaws.com/photos/613540415/original.jpg,LC
Pseudobombax septenatum,—,Magnoliopsida,Malvales,7.940571,-75.511838,2026-01-21T09:28:08,https://inaturalist-open-data.s3.amazonaws.com/photos/609717148/original.jpg,LC
Sterculia apetala,—,Magnoliopsida,Malvales,7.912887,-75.543864,2026-01-23T07:22:16,https://inaturalist-open-data.s3.amazonaws.com/photos/611029718/original.jpg,LC
Andira inermis,—,Magnoliopsida,Fabales,7.921689,-75.549323,2026-01-26T08:43:11,https://inaturalist-open-data.s3.amazonaws.com/photos/611080860/original.jpg,LC
Isertia haenkeana,—,Magnoliopsida,Gentianales,7.931818,-75.542506,2026-01-20T13:55:46,https://inaturalist-open-data.s3.amazonaws.com/photos/609707632/original.jpg,LC
Syzygium malaccense,—,Magnoliopsida,Myrtales,7.927249,-75.594437,2026-01-14T10:23:11,https://inaturalist-open-data.s3.amazonaws.com/photos/607930093/original.jpg,LC
Pseudobombax septenatum,—,Magnoliopsida,Malvales,7.921689,-75.549323,2026-01-20T07:39:32,https://inaturalist-open-data.s3.amazonaws.com/photos/609715409/original.jpg,LC
Spondias mombin,—,Magnoliopsida,Sapindales,7.909766,-75.525554,2026-01-22T07:47:16,https://inaturalist-open-data.s3.amazonaws.com/photos/610000322/original.jpg,No evaluado
Handroanthus chrysanthus,—,Magnoliopsida,Lamiales,7.92725,-75.593688,2026-01-14T10:36:21,https://inaturalist-open-data.s3.amazonaws.com/photos/607981708/original.jpg,VU
Crescentia cujete,—,Magnoliopsida,Lamiales,7.90956,-75.527472,2026-01-22T09:51:40,https://inaturalist-open-data.s3.amazonaws.com/photos/609949030/original.jpg,LC
Cochlospermum vitifolium,—,Magnoliopsida,Malvales,7.92662,-75.542505,2026-01-20T07:58:22,https://inaturalist-open-data.s3.amazonaws.com/photos/612024565/original.jpg,LC
Boana pugnax,—,Amphibia,Anura,7.994354,-75.592073,2026-01-28T13:31,https://inaturalist-open-data.s3.amazonaws.com/photos/612320243/original.jpg,LC
Centrosema virginianum,—,Magnoliopsida,Fabales,7.91732,-75.547503,2026-01-22T10:42:53,https://inaturalist-open-data.s3.amazonaws.com/photos/610000395/original.jpg,No evaluado
Gustavia nana,—,Magnoliopsida,Ericales,7.919002,-75.548231,2026-01-28T11:13:41,https://inaturalist-open-data.s3.amazonaws.com/photos/611481916/original.jpg,LC
Ceiba pentandra,—,Magnoliopsida,Malvales,7.933348,-75.513658,2026-01-21T09:29:51,https://inaturalist-open-data.s3.amazonaws.com/photos/609715106/original.jpg,LC
Acacia mangium,—,Magnoliopsida,Fabales,7.894078,-75.518719,2026-01-23T10:33:28,https://inaturalist-open-data.s3.amazonaws.com/photos/611029975/original.jpg,LC
Elaeis oleifera,—,Liliopsida,Arecales,7.894118,-75.569632,2026-01-28T09:22:04,https://inaturalist-open-data.s3.amazonaws.com/photos/611555073/original.jpg,No evaluado
Zamia melanorrhachis,—,Cycadopsida,Cycadales,7.937403,-75.527616,2026-01-26T14:08:52,https://inaturalist-open-data.s3.amazonaws.com/photos/611030093/original.jpg,EN
Pseudobombax septenatum,—,Magnoliopsida,Malvales,7.912225,-75.543864,2026-01-21T08:58:53,https://inaturalist-open-data.s3.amazonaws.com/photos/609704942/original.jpg,LC
Dracaena reflexa,—,Liliopsida,Asparagales,8.805331,-75.8505,2026-01-21T17:03:56,https://inaturalist-open-data.s3.amazonaws.com/photos/609783239/original.jpg,LC
Tabebuia rosea,—,Magnoliopsida,Lamiales,7.888057,-75.513402,2026-01-15T05:43:07,https://inaturalist-open-data.s3.amazonaws.com/photos/608123835/original.jpg,LC
